packNumber,slot,cardNumber,cardName,rarity,variant,category
6,uncommon3,152,"Raihan",Uncommon,null,Trainer
6,reverse,149,"Gordie",Uncommon,null,Trainer
6,rare,050,"Raichu",Rare,null,Pokemon
7,common1,049,"Pikachu",Common,null,Pokemon
7,common2,002,"Hoppip",Common,null,Pokemon
7,common3,039,"Luvdisc",Common,null,Pokemon
7,common4,011,"Dwebble",Common,null,Pokemon
7,common5,057,"Emolga",Common,null,Pokemon
7,uncommon1,144,"Crystal Cave",Uncommon,null,Trainer
7,uncommon2,045,"Avalugg",Uncommon,null,Pokemon
7,uncommon3,142,"Boost Shake",Uncommon,null,Trainer
7,reverse,052,"Chinchou",Common,null,Pokemon
7,rare,214,"Umbreon VMAX",VMAX,VMAX,Pokemon
8,common1,009,"Petilil",Common,null,Pokemon
8,common2,049,"Pikachu",Common,null,Pokemon
8,common3,044,"Bergmite",Common,null,Pokemon
8,common4,017,"Applin",Common,null,Pokemon
8,common5,043,"Cryogonal",Common,null,Pokemon
8,uncommon1,154,"Rescue Carrier",Uncommon,null,Trainer
8,uncommon2,144,"Crystal Cave",Uncommon,null,Trainer
8,uncommon3,003,"Skiploom",Uncommon,null,Pokemon
8,reverse,057,"Emolga",Common,null,Pokemon
8,rare,001,"Pinsir",Rare,null,Pokemon
9,common1,017,"Applin",Common,null,Pokemon
9,common2,015,"Gossifleur",Common,null,Pokemon
9,common3,043,"Cryogonal",Common,null,Pokemon
9,common4,052,"Chinchou",Common,null,Pokemon
9,common5,039,"Luvdisc",Common,null,Pokemon
9,uncommon1,055,"Flaaffy",Uncommon,null,Pokemon
9,uncommon2,151,"Moon & Sun Badge",Uncommon,null,Trainer
9,uncommon3,023,"Pyroar",Uncommon,null,Pokemon
9,reverse,001,"Pinsir",Rare,null,Pokemon
9,rare,019,"Entei",Rare,null,Pokemon
10,common1,037,"Feebas",Common,null,Pokemon
10,common2,009,"Petilil",Common,null,Pokemon
10,common3,005,"Seedot",Common,null,Pokemon
10,common4,052,"Chinchou",Common,null,Pokemon
10,common5,026,"Tentacool",Common,null,Pokemon
10,uncommon1,003,"Skiploom",Uncommon,null,Pokemon
10,uncommon2,151,"Moon & Sun Badge",Uncommon,null,Trainer
10,uncommon3,045,"Avalugg",Uncommon,null,Pokemon
10,reverse,163,"Toy Catcher",Uncommon,null,Trainer
10,rare,006,"Tropius",Rare,null,Pokemon
11,common1,002,"Hoppip",Common,null,Pokemon
11,common2,035,"Carvanha",Common,null,Pokemon
11,common3,022,"Litleo",Common,null,Pokemon
11,common4,052,"Chinchou",Common,null,Pokemon
11,common5,044,"Bergmite",Common,null,Pokemon
11,uncommon1,053,"Lanturn",Uncommon,null,Pokemon
11,uncommon2,003,"Skiploom",Uncommon,null,Pokemon
11,uncommon3,154,"Rescue Carrier",Uncommon,null,Trainer
11,reverse,027,"Tentacruel",Uncommon,null,Pokemon
11,rare,060,"Regieleki",Rare,null,Pokemon
12,common1,015,"Gossifleur",Common,null,Pokemon
12,common2,054,"Mareep",Common,null,Pokemon
12,common3,044,"Bergmite",Common,null,Pokemon
12,common4,011,"Dwebble",Common,null,Pokemon
12,common5,017,"Applin",Common,null,Pokemon
12,uncommon1,012,"Crustle",Uncommon,null,Pokemon
12,uncommon2,150,"Lucky Ice Pop",Uncommon,null,Trainer
12,uncommon3,164,"Zinnia’s Resolve",Uncommon,null,Trainer
12,reverse,060,"Regieleki",Rare,null,Pokemon
12,rare,014,"Trevenant VMAX",VMAX,VMAX,Pokemon
13,common1,032,"Lotad",Common,null,Pokemon
13,common2,002,"Hoppip",Common,null,Pokemon
13,common3,037,"Feebas",Common,null,Pokemon
13,common4,044,"Bergmite",Common,null,Pokemon
13,common5,026,"Tentacool",Common,null,Pokemon
13,uncommon1,025,"Golduck",Uncommon,null,Pokemon
13,uncommon2,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
13,uncommon3,159,"Snow Leaf Badge",Uncommon,null,Trainer
13,reverse,047,"Eiscue",Uncommon,null,Pokemon
13,rare,016,"Eldegoss",Rare,null,Pokemon
14,common1,042,"Tympole",Common,null,Pokemon
14,common2,026,"Tentacool",Common,null,Pokemon
14,common3,039,"Luvdisc",Common,null,Pokemon
14,common4,002,"Hoppip",Common,null,Pokemon
14,common5,054,"Mareep",Common,null,Pokemon
14,uncommon1,152,"Raihan",Uncommon,null,Trainer
14,uncommon2,143,"Copycat",Uncommon,null,Trainer
14,uncommon3,164,"Zinnia’s Resolve",Uncommon,null,Trainer
14,reverse,052,"Chinchou",Common,null,Pokemon
14,rare,007,"Leafeon V",V,V,Pokemon
15,common1,049,"Pikachu",Common,null,Pokemon
15,common2,057,"Emolga",Common,null,Pokemon
15,common3,002,"Hoppip",Common,null,Pokemon
15,common4,037,"Feebas",Common,null,Pokemon
15,common5,039,"Luvdisc",Common,null,Pokemon
15,uncommon1,141,"Aroma Lady",Uncommon,null,Trainer
15,uncommon2,055,"Flaaffy",Uncommon,null,Pokemon
15,uncommon3,003,"Skiploom",Uncommon,null,Pokemon
15,reverse,032,"Lotad",Common,null,Pokemon
15,rare,046,"Wishiwashi",Rare,null,Pokemon
16,common1,026,"Tentacool",Common,null,Pokemon
16,common2,017,"Applin",Common,null,Pokemon
16,common3,011,"Dwebble",Common,null,Pokemon
16,common4,052,"Chinchou",Common,null,Pokemon
16,common5,042,"Tympole",Common,null,Pokemon
16,uncommon1,156,"Rubber Gloves",Uncommon,null,Trainer
16,uncommon2,055,"Flaaffy",Uncommon,null,Pokemon
16,uncommon3,025,"Golduck",Uncommon,null,Pokemon
16,reverse,015,"Gossifleur",Common,null,Pokemon
16,rare,038,"Milotic",Rare,null,Pokemon
17,common1,017,"Applin",Common,null,Pokemon
17,common2,035,"Carvanha",Common,null,Pokemon
17,common3,043,"Cryogonal",Common,null,Pokemon
17,common4,032,"Lotad",Common,null,Pokemon
17,common5,057,"Emolga",Common,null,Pokemon
17,uncommon1,156,"Rubber Gloves",Uncommon,null,Trainer
17,uncommon2,033,"Lombre",Uncommon,null,Pokemon
17,uncommon3,160,"Spirit Mask",Uncommon,null,Trainer
17,reverse,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
17,rare,060,"Regieleki",Rare,null,Pokemon
18,common1,037,"Feebas",Common,null,Pokemon
18,common2,042,"Tympole",Common,null,Pokemon
18,common3,009,"Petilil",Common,null,Pokemon
18,common4,002,"Hoppip",Common,null,Pokemon
18,common5,015,"Gossifleur",Common,null,Pokemon
18,uncommon1,143,"Copycat",Uncommon,null,Trainer
18,uncommon2,145,"Digging Gloves",Uncommon,null,Trainer
18,uncommon3,160,"Spirit Mask",Uncommon,null,Trainer
18,reverse,050,"Raichu",Rare,null,Pokemon
18,rare,010,"Lilligant",Rare,null,Pokemon
19,common1,057,"Emolga",Common,null,Pokemon
19,common2,052,"Chinchou",Common,null,Pokemon
19,common3,043,"Cryogonal",Common,null,Pokemon
19,common4,042,"Tympole",Common,null,Pokemon
19,common5,049,"Pikachu",Common,null,Pokemon
19,uncommon1,012,"Crustle",Uncommon,null,Pokemon
19,uncommon2,023,"Pyroar",Uncommon,null,Pokemon
19,uncommon3,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
19,reverse,039,"Luvdisc",Common,null,Pokemon
19,rare,060,"Regieleki",Rare,null,Pokemon
20,common1,039,"Luvdisc",Common,null,Pokemon
20,common2,002,"Hoppip",Common,null,Pokemon
20,common3,044,"Bergmite",Common,null,Pokemon
20,common4,011,"Dwebble",Common,null,Pokemon
20,common5,057,"Emolga",Common,null,Pokemon
20,uncommon1,047,"Eiscue",Uncommon,null,Pokemon
20,uncommon2,141,"Aroma Lady",Uncommon,null,Trainer
20,uncommon3,150,"Lucky Ice Pop",Uncommon,null,Trainer
20,reverse,015,"Gossifleur",Common,null,Pokemon
20,rare,056,"Ampharos",Rare,null,Pokemon
21,common1,026,"Tentacool",Common,null,Pokemon
21,common2,022,"Litleo",Common,null,Pokemon
21,common3,039,"Luvdisc",Common,null,Pokemon
21,common4,011,"Dwebble",Common,null,Pokemon
21,common5,032,"Lotad",Common,null,Pokemon
21,uncommon1,023,"Pyroar",Uncommon,null,Pokemon
21,uncommon2,148,"Full Face Guard",Uncommon,null,Trainer
21,uncommon3,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
21,reverse,017,"Applin",Common,null,Pokemon
21,rare,013,"Trevenant V",V,V,Pokemon
22,common1,015,"Gossifleur",Common,null,Pokemon
22,common2,042,"Tympole",Common,null,Pokemon
22,common3,039,"Luvdisc",Common,null,Pokemon
22,common4,002,"Hoppip",Common,null,Pokemon
22,common5,011,"Dwebble",Common,null,Pokemon
22,uncommon1,147,"Elemental Badge",Uncommon,null,Trainer
22,uncommon2,155,"Ribbon Badge",Uncommon,null,Trainer
22,uncommon3,053,"Lanturn",Uncommon,null,Pokemon
22,reverse,043,"Cryogonal",Common,null,Pokemon
22,rare,013,"Trevenant V",V,V,Pokemon
23,common1,054,"Mareep",Common,null,Pokemon
23,common2,015,"Gossifleur",Common,null,Pokemon
23,common3,002,"Hoppip",Common,null,Pokemon
23,common4,049,"Pikachu",Common,null,Pokemon
23,common5,032,"Lotad",Common,null,Pokemon
23,uncommon1,147,"Elemental Badge",Uncommon,null,Trainer
23,uncommon2,142,"Boost Shake",Uncommon,null,Trainer
23,uncommon3,152,"Raihan",Uncommon,null,Trainer
23,reverse,052,"Chinchou",Common,null,Pokemon
23,rare,040,"Glaceon V",V,V,Pokemon
24,common1,026,"Tentacool",Common,null,Pokemon
24,common2,049,"Pikachu",Common,null,Pokemon
24,common3,054,"Mareep",Common,null,Pokemon
24,common4,043,"Cryogonal",Common,null,Pokemon
24,common5,042,"Tympole",Common,null,Pokemon
24,uncommon1,027,"Tentacruel",Uncommon,null,Pokemon
24,uncommon2,152,"Raihan",Uncommon,null,Trainer
24,uncommon3,163,"Toy Catcher",Uncommon,null,Trainer
24,reverse,154,"Rescue Carrier",Uncommon,null,Trainer
24,rare,050,"Raichu",Rare,null,Pokemon
25,common1,037,"Feebas",Common,null,Pokemon
25,common2,002,"Hoppip",Common,null,Pokemon
25,common3,017,"Applin",Common,null,Pokemon
25,common4,057,"Emolga",Common,null,Pokemon
25,common5,011,"Dwebble",Common,null,Pokemon
25,uncommon1,165,"Treasure Energy",Uncommon,null,Energy
25,uncommon2,144,"Crystal Cave",Uncommon,null,Trainer
25,uncommon3,023,"Pyroar",Uncommon,null,Pokemon
25,reverse,026,"Tentacool",Common,null,Pokemon
25,rare,058,"Dracozolt V",V,V,Pokemon
26,common1,002,"Hoppip",Common,null,Pokemon
26,common2,022,"Litleo",Common,null,Pokemon
26,common3,057,"Emolga",Common,null,Pokemon
26,common4,054,"Mareep",Common,null,Pokemon
26,common5,017,"Applin",Common,null,Pokemon
26,uncommon1,157,"Shopping Center",Uncommon,null,Trainer
26,uncommon2,165,"Treasure Energy",Uncommon,null,Energy
26,uncommon3,145,"Digging Gloves",Uncommon,null,Trainer
26,reverse,164,"Zinnia’s Resolve",Uncommon,null,Trainer
26,rare,048,"Arctovish V",V,V,Pokemon
27,common1,032,"Lotad",Common,null,Pokemon
27,common2,002,"Hoppip",Common,null,Pokemon
27,common3,024,"Psyduck",Common,null,Pokemon
27,common4,017,"Applin",Common,null,Pokemon
27,common5,049,"Pikachu",Common,null,Pokemon
27,uncommon1,161,"Stormy Mountains",Uncommon,null,Trainer
27,uncommon2,155,"Ribbon Badge",Uncommon,null,Trainer
27,uncommon3,149,"Gordie",Uncommon,null,Trainer
27,reverse,146,"Dream Ball",Uncommon,null,Trainer
27,rare,036,"Sharpedo",Rare,null,Pokemon
28,common1,044,"Bergmite",Common,null,Pokemon
28,common2,042,"Tympole",Common,null,Pokemon
28,common3,037,"Feebas",Common,null,Pokemon
28,common4,011,"Dwebble",Common,null,Pokemon
28,common5,054,"Mareep",Common,null,Pokemon
28,uncommon1,155,"Ribbon Badge",Uncommon,null,Trainer
28,uncommon2,147,"Elemental Badge",Uncommon,null,Trainer
28,uncommon3,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
28,reverse,159,"Snow Leaf Badge",Uncommon,null,Trainer
28,rare,007,"Leafeon V",V,V,Pokemon
29,common1,044,"Bergmite",Common,null,Pokemon
29,common2,042,"Tympole",Common,null,Pokemon
29,common3,009,"Petilil",Common,null,Pokemon
29,common4,032,"Lotad",Common,null,Pokemon
29,common5,052,"Chinchou",Common,null,Pokemon
29,uncommon1,142,"Boost Shake",Uncommon,null,Trainer
29,uncommon2,149,"Gordie",Uncommon,null,Trainer
29,uncommon3,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
29,reverse,146,"Dream Ball",Uncommon,null,Trainer
29,rare,013,"Trevenant V",V,V,Pokemon
30,common1,044,"Bergmite",Common,null,Pokemon
30,common2,005,"Seedot",Common,null,Pokemon
30,common3,049,"Pikachu",Common,null,Pokemon
30,common4,022,"Litleo",Common,null,Pokemon
30,common5,009,"Petilil",Common,null,Pokemon
30,uncommon1,033,"Lombre",Uncommon,null,Pokemon
30,uncommon2,147,"Elemental Badge",Uncommon,null,Trainer
30,uncommon3,149,"Gordie",Uncommon,null,Trainer
30,reverse,015,"Gossifleur",Common,null,Pokemon
30,rare,021,"Volcarona V",V,V,Pokemon
31,common1,049,"Pikachu",Common,null,Pokemon
31,common2,009,"Petilil",Common,null,Pokemon
31,common3,042,"Tympole",Common,null,Pokemon
31,common4,054,"Mareep",Common,null,Pokemon
31,common5,002,"Hoppip",Common,null,Pokemon
31,uncommon1,055,"Flaaffy",Uncommon,null,Pokemon
31,uncommon2,012,"Crustle",Uncommon,null,Pokemon
31,uncommon3,157,"Shopping Center",Uncommon,null,Trainer
31,reverse,035,"Carvanha",Common,null,Pokemon
31,rare,006,"Tropius",Rare,null,Pokemon
32,common1,057,"Emolga",Common,null,Pokemon
32,common2,015,"Gossifleur",Common,null,Pokemon
32,common3,039,"Luvdisc",Common,null,Pokemon
32,common4,017,"Applin",Common,null,Pokemon
32,common5,024,"Psyduck",Common,null,Pokemon
32,uncommon1,055,"Flaaffy",Uncommon,null,Pokemon
32,uncommon2,157,"Shopping Center",Uncommon,null,Trainer
32,uncommon3,159,"Snow Leaf Badge",Uncommon,null,Trainer
32,reverse,145,"Digging Gloves",Uncommon,null,Trainer
32,rare,209,"Glaceon VMAX",VMAX,VMAX,Pokemon
33,common1,026,"Tentacool",Common,null,Pokemon
33,common2,017,"Applin",Common,null,Pokemon
33,common3,042,"Tympole",Common,null,Pokemon
33,common4,043,"Cryogonal",Common,null,Pokemon
33,common5,039,"Luvdisc",Common,null,Pokemon
33,uncommon1,025,"Golduck",Uncommon,null,Pokemon
33,uncommon2,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
33,uncommon3,033,"Lombre",Uncommon,null,Pokemon
33,reverse,035,"Carvanha",Common,null,Pokemon
33,rare,056,"Ampharos",Rare,null,Pokemon
34,common1,049,"Pikachu",Common,null,Pokemon
34,common2,032,"Lotad",Common,null,Pokemon
34,common3,054,"Mareep",Common,null,Pokemon
34,common4,024,"Psyduck",Common,null,Pokemon
34,common5,017,"Applin",Common,null,Pokemon
34,uncommon1,164,"Zinnia’s Resolve",Uncommon,null,Trainer
34,uncommon2,141,"Aroma Lady",Uncommon,null,Trainer
34,uncommon3,055,"Flaaffy",Uncommon,null,Pokemon
34,reverse,043,"Cryogonal",Common,null,Pokemon
34,rare,046,"Wishiwashi",Rare,null,Pokemon
35,common1,002,"Hoppip",Common,null,Pokemon
35,common2,057,"Emolga",Common,null,Pokemon
35,common3,022,"Litleo",Common,null,Pokemon
35,common4,049,"Pikachu",Common,null,Pokemon
35,common5,032,"Lotad",Common,null,Pokemon
35,uncommon1,157,"Shopping Center",Uncommon,null,Trainer
35,uncommon2,154,"Rescue Carrier",Uncommon,null,Trainer
35,uncommon3,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
35,reverse,147,"Elemental Badge",Uncommon,null,Trainer
35,rare,006,"Tropius",Rare,null,Pokemon
36,common1,049,"Pikachu",Common,null,Pokemon
36,common2,002,"Hoppip",Common,null,Pokemon
36,common3,011,"Dwebble",Common,null,Pokemon
36,common4,043,"Cryogonal",Common,null,Pokemon
36,common5,024,"Psyduck",Common,null,Pokemon
36,uncommon1,156,"Rubber Gloves",Uncommon,null,Trainer
36,uncommon2,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
36,uncommon3,157,"Shopping Center",Uncommon,null,Trainer
36,reverse,050,"Raichu",Rare,null,Pokemon
36,rare,020,"Victini",Rare,null,Pokemon
37,common1,057,"Emolga",Common,null,Pokemon
37,common2,039,"Luvdisc",Common,null,Pokemon
37,common3,015,"Gossifleur",Common,null,Pokemon
37,common4,017,"Applin",Common,null,Pokemon
37,common5,005,"Seedot",Common,null,Pokemon
37,uncommon1,162,"Switching Cups",Uncommon,null,Trainer
37,uncommon2,165,"Treasure Energy",Uncommon,null,Energy
37,uncommon3,141,"Aroma Lady",Uncommon,null,Trainer
37,reverse,163,"Toy Catcher",Uncommon,null,Trainer
37,rare,020,"Victini",Rare,null,Pokemon
38,common1,011,"Dwebble",Common,null,Pokemon
38,common2,052,"Chinchou",Common,null,Pokemon
38,common3,026,"Tentacool",Common,null,Pokemon
38,common4,015,"Gossifleur",Common,null,Pokemon
38,common5,044,"Bergmite",Common,null,Pokemon
38,uncommon1,145,"Digging Gloves",Uncommon,null,Trainer
38,uncommon2,157,"Shopping Center",Uncommon,null,Trainer
38,uncommon3,154,"Rescue Carrier",Uncommon,null,Trainer
38,reverse,023,"Pyroar",Uncommon,null,Pokemon
38,rare,001,"Pinsir",Rare,null,Pokemon
39,common1,035,"Carvanha",Common,null,Pokemon
39,common2,049,"Pikachu",Common,null,Pokemon
39,common3,017,"Applin",Common,null,Pokemon
39,common4,037,"Feebas",Common,null,Pokemon
39,common5,044,"Bergmite",Common,null,Pokemon
39,uncommon1,159,"Snow Leaf Badge",Uncommon,null,Trainer
39,uncommon2,053,"Lanturn",Uncommon,null,Pokemon
39,uncommon3,151,"Moon & Sun Badge",Uncommon,null,Trainer
39,reverse,005,"Seedot",Common,null,Pokemon
39,rare,034,"Ludicolo",Rare,null,Pokemon
40,common1,005,"Seedot",Common,null,Pokemon
40,common2,032,"Lotad",Common,null,Pokemon
40,common3,052,"Chinchou",Common,null,Pokemon
40,common4,042,"Tympole",Common,null,Pokemon
40,common5,035,"Carvanha",Common,null,Pokemon
40,uncommon1,150,"Lucky Ice Pop",Uncommon,null,Trainer
40,uncommon2,156,"Rubber Gloves",Uncommon,null,Trainer
40,uncommon3,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
40,reverse,151,"Moon & Sun Badge",Uncommon,null,Trainer
40,rare,019,"Entei",Rare,null,Pokemon
41,common1,009,"Petilil",Common,null,Pokemon
41,common2,005,"Seedot",Common,null,Pokemon
41,common3,039,"Luvdisc",Common,null,Pokemon
41,common4,022,"Litleo",Common,null,Pokemon
41,common5,043,"Cryogonal",Common,null,Pokemon
41,uncommon1,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
41,uncommon2,155,"Ribbon Badge",Uncommon,null,Trainer
41,uncommon3,003,"Skiploom",Uncommon,null,Pokemon
41,reverse,034,"Ludicolo",Rare,null,Pokemon
41,rare,220,"Duraludon VMAX",VMAX,VMAX,Pokemon
42,common1,024,"Psyduck",Common,null,Pokemon
42,common2,052,"Chinchou",Common,null,Pokemon
42,common3,054,"Mareep",Common,null,Pokemon
42,common4,044,"Bergmite",Common,null,Pokemon
42,common5,037,"Feebas",Common,null,Pokemon
42,uncommon1,161,"Stormy Mountains",Uncommon,null,Trainer
42,uncommon2,141,"Aroma Lady",Uncommon,null,Trainer
42,uncommon3,144,"Crystal Cave",Uncommon,null,Trainer
42,reverse,057,"Emolga",Common,null,Pokemon
42,rare,001,"Pinsir",Rare,null,Pokemon
43,common1,043,"Cryogonal",Common,null,Pokemon
43,common2,022,"Litleo",Common,null,Pokemon
43,common3,049,"Pikachu",Common,null,Pokemon
43,common4,026,"Tentacool",Common,null,Pokemon
43,common5,011,"Dwebble",Common,null,Pokemon
43,uncommon1,033,"Lombre",Uncommon,null,Pokemon
43,uncommon2,055,"Flaaffy",Uncommon,null,Pokemon
43,uncommon3,154,"Rescue Carrier",Uncommon,null,Trainer
43,reverse,002,"Hoppip",Common,null,Pokemon
43,rare,060,"Regieleki",Rare,null,Pokemon
44,common1,039,"Luvdisc",Common,null,Pokemon
44,common2,054,"Mareep",Common,null,Pokemon
44,common3,043,"Cryogonal",Common,null,Pokemon
44,common4,015,"Gossifleur",Common,null,Pokemon
44,common5,026,"Tentacool",Common,null,Pokemon
44,uncommon1,047,"Eiscue",Uncommon,null,Pokemon
44,uncommon2,150,"Lucky Ice Pop",Uncommon,null,Trainer
44,uncommon3,143,"Copycat",Uncommon,null,Trainer
44,reverse,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
44,rare,004,"Jumpluff",Rare,null,Pokemon
45,common1,024,"Psyduck",Common,null,Pokemon
45,common2,026,"Tentacool",Common,null,Pokemon
45,common3,005,"Seedot",Common,null,Pokemon
45,common4,032,"Lotad",Common,null,Pokemon
45,common5,015,"Gossifleur",Common,null,Pokemon
45,uncommon1,147,"Elemental Badge",Uncommon,null,Trainer
45,uncommon2,162,"Switching Cups",Uncommon,null,Trainer
45,uncommon3,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
45,reverse,006,"Tropius",Rare,null,Pokemon
45,rare,060,"Regieleki",Rare,null,Pokemon
46,common1,052,"Chinchou",Common,null,Pokemon
46,common2,032,"Lotad",Common,null,Pokemon
46,common3,002,"Hoppip",Common,null,Pokemon
46,common4,026,"Tentacool",Common,null,Pokemon
46,common5,017,"Applin",Common,null,Pokemon
46,uncommon1,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
46,uncommon2,055,"Flaaffy",Uncommon,null,Pokemon
46,uncommon3,033,"Lombre",Uncommon,null,Pokemon
46,reverse,039,"Luvdisc",Common,null,Pokemon
46,rare,038,"Milotic",Rare,null,Pokemon
47,common1,032,"Lotad",Common,null,Pokemon
47,common2,024,"Psyduck",Common,null,Pokemon
47,common3,015,"Gossifleur",Common,null,Pokemon
47,common4,037,"Feebas",Common,null,Pokemon
47,common5,057,"Emolga",Common,null,Pokemon
47,uncommon1,141,"Aroma Lady",Uncommon,null,Trainer
47,uncommon2,145,"Digging Gloves",Uncommon,null,Trainer
47,uncommon3,047,"Eiscue",Uncommon,null,Pokemon
47,reverse,043,"Cryogonal",Common,null,Pokemon
47,rare,013,"Trevenant V",V,V,Pokemon
48,common1,043,"Cryogonal",Common,null,Pokemon
48,common2,011,"Dwebble",Common,null,Pokemon
48,common3,002,"Hoppip",Common,null,Pokemon
48,common4,039,"Luvdisc",Common,null,Pokemon
48,common5,049,"Pikachu",Common,null,Pokemon
48,uncommon1,027,"Tentacruel",Uncommon,null,Pokemon
48,uncommon2,157,"Shopping Center",Uncommon,null,Trainer
48,uncommon3,053,"Lanturn",Uncommon,null,Pokemon
48,reverse,159,"Snow Leaf Badge",Uncommon,null,Trainer
48,rare,007,"Leafeon V",V,V,Pokemon
49,common1,017,"Applin",Common,null,Pokemon
49,common2,039,"Luvdisc",Common,null,Pokemon
49,common3,044,"Bergmite",Common,null,Pokemon
49,common4,009,"Petilil",Common,null,Pokemon
49,common5,015,"Gossifleur",Common,null,Pokemon
49,uncommon1,003,"Skiploom",Uncommon,null,Pokemon
49,uncommon2,145,"Digging Gloves",Uncommon,null,Trainer
49,uncommon3,147,"Elemental Badge",Uncommon,null,Trainer
49,reverse,158,"Single Strike Scroll of the Fanged Dragon",Uncommon,null,Trainer
49,rare,006,"Tropius",Rare,null,Pokemon
50,common1,009,"Petilil",Common,null,Pokemon
50,common2,005,"Seedot",Common,null,Pokemon
50,common3,043,"Cryogonal",Common,null,Pokemon
50,common4,054,"Mareep",Common,null,Pokemon
50,common5,032,"Lotad",Common,null,Pokemon
50,uncommon1,045,"Avalugg",Uncommon,null,Pokemon
50,uncommon2,153,"Rapid Strike Scroll of the Flying Dragon",Uncommon,null,Trainer
50,uncommon3,143,"Copycat",Uncommon,null,Trainer
50,reverse,049,"Pikachu",Common,null,Pokemon
50,rare,036,"Sharpedo",Rare,null,Pokemon
51,common1,015,"Gossifleur",Common,null,Pokemon
51,common2,009,"Petilil",Common,null,Pokemon
51,common3,024,"Psyduck",Common,null,Pokemon
51,common4,032,"Lotad",Common,null,Pokemon
